from,to
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,2
15,3
16,4
17,5
18,6
19,7
20,8
21,9
22,10
23,11
24,12
25,13
26,14
27,15
28,16
29,17
30,18
31,19
32,20
33,21
34,22
35,23
36,24
37,25
38,26
39,27
40,28
41,29
42,30
43,31
44,32
45,33
46,34
47,35
48,36
49,37
50,38
51,39
52,40
53,41
54,42
55,43
56,44
57,45
58,46
59,47
60,48
61,49
62,50
63,51
64,52
65,53
66,54
67,55
68,56
69,57
70,58
71,59
72,60
73,61
74,62
75,63
76,64
77,65
78,66
79,67
80,68
81,69
82,70
83,71
84,72
85,73
86,74
87,75
88,76
89,77
90,78
